run_ID,ave_velocity,d_p_cm,biomass_gm2,d_c,frontal_area_unit_volume,height,p_density,f_density,kin_viscosity_cm2,Re_c,c_density,radius_ratio
40_1,5,0.004,1000,0.489264759,0.01,10,2.65,1,0.00979,2.042900919,204.3883157,0.008175533
40_2,5,0.004,1000,0.489264759,0.011,10,2.65,1,0.00979,2.042900919,224.8271472,0.008175533
40_3,5,0.004,1000,0.489264759,0.012,10,2.65,1,0.00979,2.042900919,245.2659788,0.008175533
40_4,5,0.004,1000,0.489264759,0.013,10,2.65,1,0.00979,2.042900919,265.7048103,0.008175533
40_5,5,0.004,1000,0.489264759,0.014,10,2.65,1,0.00979,2.042900919,286.1436419,0.008175533
40_6,5,0.004,1000,0.489264759,0.015,10,2.65,1,0.00979,2.042900919,306.5824735,0.008175533
40_7,5,0.004,1000,0.489264759,0.016,10,2.65,1,0.00979,2.042900919,327.021305,0.008175533
40_8,5,0.004,1000,0.489264759,0.017,10,2.65,1,0.00979,2.042900919,347.4601366,0.008175533
40_9,5,0.004,1000,0.489264759,0.018,10,2.65,1,0.00979,2.042900919,367.8989682,0.008175533
40_10,5,0.004,1000,0.489264759,0.019,10,2.65,1,0.00979,2.042900919,388.3377997,0.008175533
40_11,5,0.004,1000,0.489264759,0.02,10,2.65,1,0.00979,2.042900919,408.7766313,0.008175533
40_12,5,0.004,1000,0.489264759,0.021,10,2.65,1,0.00979,2.042900919,429.2154629,0.008175533
40_13,5,0.004,1000,0.489264759,0.022,10,2.65,1,0.00979,2.042900919,449.6542944,0.008175533
40_14,5,0.004,1000,0.489264759,0.023,10,2.65,1,0.00979,2.042900919,470.093126,0.008175533
40_15,5,0.004,1000,0.489264759,0.024,10,2.65,1,0.00979,2.042900919,490.5319576,0.008175533
40_16,5,0.004,1000,0.489264759,0.025,10,2.65,1,0.00979,2.042900919,510.9707891,0.008175533
40_17,5,0.004,1000,0.489264759,0.026,10,2.65,1,0.00979,2.042900919,531.4096207,0.008175533
40_18,5,0.004,1000,0.489264759,0.027,10,2.65,1,0.00979,2.042900919,551.8484523,0.008175533
40_19,5,0.004,1000,0.489264759,0.028,10,2.65,1,0.00979,2.042900919,572.2872838,0.008175533
40_20,5,0.004,1000,0.489264759,0.029,10,2.65,1,0.00979,2.042900919,592.7261154,0.008175533
40_21,5,0.004,1000,0.489264759,0.03,10,2.65,1,0.00979,2.042900919,613.164947,0.008175533
40_22,5,0.004,1000,0.489264759,0.031,10,2.65,1,0.00979,2.042900919,633.6037785,0.008175533
40_23,5,0.004,1000,0.489264759,0.032,10,2.65,1,0.00979,2.042900919,654.0426101,0.008175533
40_24,5,0.004,1000,0.489264759,0.033,10,2.65,1,0.00979,2.042900919,674.4814417,0.008175533
40_25,5,0.004,1000,0.489264759,0.034,10,2.65,1,0.00979,2.042900919,694.9202732,0.008175533
40_26,5,0.004,1000,0.489264759,0.035,10,2.65,1,0.00979,2.042900919,715.3591048,0.008175533
40_27,5,0.004,1000,0.489264759,0.036,10,2.65,1,0.00979,2.042900919,735.7979363,0.008175533
40_28,5,0.004,1000,0.489264759,0.037,10,2.65,1,0.00979,2.042900919,756.2367679,0.008175533
40_29,5,0.004,1000,0.489264759,0.038,10,2.65,1,0.00979,2.042900919,776.6755995,0.008175533
40_30,5,0.004,1000,0.489264759,0.039,10,2.65,1,0.00979,2.042900919,797.114431,0.008175533
40_31,5,0.004,1000,0.489264759,0.04,10,2.65,1,0.00979,2.042900919,817.5532626,0.008175533
40_32,5,0.004,1000,0.489264759,0.041,10,2.65,1,0.00979,2.042900919,837.9920942,0.008175533
40_33,5,0.004,1000,0.489264759,0.042,10,2.65,1,0.00979,2.042900919,858.4309257,0.008175533
40_34,5,0.004,1000,0.489264759,0.043,10,2.65,1,0.00979,2.042900919,878.8697573,0.008175533
40_35,5,0.004,1000,0.489264759,0.044,10,2.65,1,0.00979,2.042900919,899.3085889,0.008175533
40_36,5,0.004,1000,0.489264759,0.045,10,2.65,1,0.00979,2.042900919,919.7474204,0.008175533
40_37,5,0.004,1000,0.489264759,0.046,10,2.65,1,0.00979,2.042900919,940.186252,0.008175533
40_38,5,0.004,1000,0.489264759,0.047,10,2.65,1,0.00979,2.042900919,960.6250836,0.008175533
40_39,5,0.004,1000,0.489264759,0.048,10,2.65,1,0.00979,2.042900919,981.0639151,0.008175533
40_40,5,0.004,1000,0.489264759,0.049,10,2.65,1,0.00979,2.042900919,1001.502747,0.008175533
40_41,5,0.004,1000,0.489264759,0.05,10,2.65,1,0.00979,2.042900919,1021.941578,0.008175533
40_42,5,0.004,1000,0.489264759,0.051,10,2.65,1,0.00979,2.042900919,1042.38041,0.008175533
40_43,5,0.004,1000,0.489264759,0.052,10,2.65,1,0.00979,2.042900919,1062.819241,0.008175533
40_44,5,0.004,1000,0.489264759,0.053,10,2.65,1,0.00979,2.042900919,1083.258073,0.008175533
40_45,5,0.004,1000,0.489264759,0.054,10,2.65,1,0.00979,2.042900919,1103.696905,0.008175533
40_46,5,0.004,1000,0.489264759,0.055,10,2.65,1,0.00979,2.042900919,1124.135736,0.008175533
40_47,5,0.004,1000,0.489264759,0.056,10,2.65,1,0.00979,2.042900919,1144.574568,0.008175533
40_48,5,0.004,1000,0.489264759,0.057,10,2.65,1,0.00979,2.042900919,1165.013399,0.008175533
40_49,5,0.004,1000,0.489264759,0.058,10,2.65,1,0.00979,2.042900919,1185.452231,0.008175533
40_50,5,0.004,1000,0.489264759,0.059,10,2.65,1,0.00979,2.042900919,1205.891062,0.008175533
40_51,5,0.004,1000,0.489264759,0.06,10,2.65,1,0.00979,2.042900919,1226.329894,0.008175533
40_52,5,0.004,1000,0.489264759,0.061,10,2.65,1,0.00979,2.042900919,1246.768725,0.008175533
40_53,5,0.004,1000,0.489264759,0.062,10,2.65,1,0.00979,2.042900919,1267.207557,0.008175533
40_54,5,0.004,1000,0.489264759,0.063,10,2.65,1,0.00979,2.042900919,1287.646389,0.008175533
40_55,5,0.004,1000,0.489264759,0.064,10,2.65,1,0.00979,2.042900919,1308.08522,0.008175533
40_56,5,0.004,1000,0.489264759,0.065,10,2.65,1,0.00979,2.042900919,1328.524052,0.008175533
40_57,5,0.004,1000,0.489264759,0.066,10,2.65,1,0.00979,2.042900919,1348.962883,0.008175533
40_58,5,0.004,1000,0.489264759,0.067,10,2.65,1,0.00979,2.042900919,1369.401715,0.008175533
40_59,5,0.004,1000,0.489264759,0.068,10,2.65,1,0.00979,2.042900919,1389.840546,0.008175533
40_60,5,0.004,1000,0.489264759,0.069,10,2.65,1,0.00979,2.042900919,1410.279378,0.008175533
40_61,5,0.004,1000,0.489264759,0.07,10,2.65,1,0.00979,2.042900919,1430.71821,0.008175533
40_62,6,0.004,1000,0.489264759,0.01,10,2.65,1,0.00979,2.451481103,204.3883157,0.008175533
40_63,6,0.004,1000,0.489264759,0.011,10,2.65,1,0.00979,2.451481103,224.8271472,0.008175533
40_64,6,0.004,1000,0.489264759,0.012,10,2.65,1,0.00979,2.451481103,245.2659788,0.008175533
40_65,6,0.004,1000,0.489264759,0.013,10,2.65,1,0.00979,2.451481103,265.7048103,0.008175533
40_66,6,0.004,1000,0.489264759,0.014,10,2.65,1,0.00979,2.451481103,286.1436419,0.008175533
40_67,6,0.004,1000,0.489264759,0.015,10,2.65,1,0.00979,2.451481103,306.5824735,0.008175533
40_68,6,0.004,1000,0.489264759,0.016,10,2.65,1,0.00979,2.451481103,327.021305,0.008175533
40_69,6,0.004,1000,0.489264759,0.017,10,2.65,1,0.00979,2.451481103,347.4601366,0.008175533
40_70,6,0.004,1000,0.489264759,0.018,10,2.65,1,0.00979,2.451481103,367.8989682,0.008175533
40_71,6,0.004,1000,0.489264759,0.019,10,2.65,1,0.00979,2.451481103,388.3377997,0.008175533
40_72,6,0.004,1000,0.489264759,0.02,10,2.65,1,0.00979,2.451481103,408.7766313,0.008175533
40_73,6,0.004,1000,0.489264759,0.021,10,2.65,1,0.00979,2.451481103,429.2154629,0.008175533
40_74,6,0.004,1000,0.489264759,0.022,10,2.65,1,0.00979,2.451481103,449.6542944,0.008175533
40_75,6,0.004,1000,0.489264759,0.023,10,2.65,1,0.00979,2.451481103,470.093126,0.008175533
40_76,6,0.004,1000,0.489264759,0.024,10,2.65,1,0.00979,2.451481103,490.5319576,0.008175533
40_77,6,0.004,1000,0.489264759,0.025,10,2.65,1,0.00979,2.451481103,510.9707891,0.008175533
40_78,6,0.004,1000,0.489264759,0.026,10,2.65,1,0.00979,2.451481103,531.4096207,0.008175533
40_79,6,0.004,1000,0.489264759,0.027,10,2.65,1,0.00979,2.451481103,551.8484523,0.008175533
40_80,6,0.004,1000,0.489264759,0.028,10,2.65,1,0.00979,2.451481103,572.2872838,0.008175533
40_81,6,0.004,1000,0.489264759,0.029,10,2.65,1,0.00979,2.451481103,592.7261154,0.008175533
40_82,6,0.004,1000,0.489264759,0.03,10,2.65,1,0.00979,2.451481103,613.164947,0.008175533
40_83,6,0.004,1000,0.489264759,0.031,10,2.65,1,0.00979,2.451481103,633.6037785,0.008175533
40_84,6,0.004,1000,0.489264759,0.032,10,2.65,1,0.00979,2.451481103,654.0426101,0.008175533
40_85,6,0.004,1000,0.489264759,0.033,10,2.65,1,0.00979,2.451481103,674.4814417,0.008175533
40_86,6,0.004,1000,0.489264759,0.034,10,2.65,1,0.00979,2.451481103,694.9202732,0.008175533
40_87,6,0.004,1000,0.489264759,0.035,10,2.65,1,0.00979,2.451481103,715.3591048,0.008175533
40_88,6,0.004,1000,0.489264759,0.036,10,2.65,1,0.00979,2.451481103,735.7979363,0.008175533
40_89,6,0.004,1000,0.489264759,0.037,10,2.65,1,0.00979,2.451481103,756.2367679,0.008175533
40_90,6,0.004,1000,0.489264759,0.038,10,2.65,1,0.00979,2.451481103,776.6755995,0.008175533
40_91,6,0.004,1000,0.489264759,0.039,10,2.65,1,0.00979,2.451481103,797.114431,0.008175533
40_92,6,0.004,1000,0.489264759,0.04,10,2.65,1,0.00979,2.451481103,817.5532626,0.008175533
40_93,6,0.004,1000,0.489264759,0.041,10,2.65,1,0.00979,2.451481103,837.9920942,0.008175533
40_94,6,0.004,1000,0.489264759,0.042,10,2.65,1,0.00979,2.451481103,858.4309257,0.008175533
40_95,6,0.004,1000,0.489264759,0.043,10,2.65,1,0.00979,2.451481103,878.8697573,0.008175533
40_96,6,0.004,1000,0.489264759,0.044,10,2.65,1,0.00979,2.451481103,899.3085889,0.008175533
40_97,6,0.004,1000,0.489264759,0.045,10,2.65,1,0.00979,2.451481103,919.7474204,0.008175533
40_98,6,0.004,1000,0.489264759,0.046,10,2.65,1,0.00979,2.451481103,940.186252,0.008175533
40_99,6,0.004,1000,0.489264759,0.047,10,2.65,1,0.00979,2.451481103,960.6250836,0.008175533
40_100,6,0.004,1000,0.489264759,0.048,10,2.65,1,0.00979,2.451481103,981.0639151,0.008175533
40_101,6,0.004,1000,0.489264759,0.049,10,2.65,1,0.00979,2.451481103,1001.502747,0.008175533
40_102,6,0.004,1000,0.489264759,0.05,10,2.65,1,0.00979,2.451481103,1021.941578,0.008175533
40_103,6,0.004,1000,0.489264759,0.051,10,2.65,1,0.00979,2.451481103,1042.38041,0.008175533
40_104,6,0.004,1000,0.489264759,0.052,10,2.65,1,0.00979,2.451481103,1062.819241,0.008175533
40_105,6,0.004,1000,0.489264759,0.053,10,2.65,1,0.00979,2.451481103,1083.258073,0.008175533
40_106,6,0.004,1000,0.489264759,0.054,10,2.65,1,0.00979,2.451481103,1103.696905,0.008175533
40_107,6,0.004,1000,0.489264759,0.055,10,2.65,1,0.00979,2.451481103,1124.135736,0.008175533
40_108,6,0.004,1000,0.489264759,0.056,10,2.65,1,0.00979,2.451481103,1144.574568,0.008175533
40_109,6,0.004,1000,0.489264759,0.057,10,2.65,1,0.00979,2.451481103,1165.013399,0.008175533
40_110,6,0.004,1000,0.489264759,0.058,10,2.65,1,0.00979,2.451481103,1185.452231,0.008175533
40_111,6,0.004,1000,0.489264759,0.059,10,2.65,1,0.00979,2.451481103,1205.891062,0.008175533
40_112,6,0.004,1000,0.489264759,0.06,10,2.65,1,0.00979,2.451481103,1226.329894,0.008175533
40_113,6,0.004,1000,0.489264759,0.061,10,2.65,1,0.00979,2.451481103,1246.768725,0.008175533
40_114,6,0.004,1000,0.489264759,0.062,10,2.65,1,0.00979,2.451481103,1267.207557,0.008175533
40_115,6,0.004,1000,0.489264759,0.063,10,2.65,1,0.00979,2.451481103,1287.646389,0.008175533
40_116,6,0.004,1000,0.489264759,0.064,10,2.65,1,0.00979,2.451481103,1308.08522,0.008175533
40_117,6,0.004,1000,0.489264759,0.065,10,2.65,1,0.00979,2.451481103,1328.524052,0.008175533
40_118,6,0.004,1000,0.489264759,0.066,10,2.65,1,0.00979,2.451481103,1348.962883,0.008175533
40_119,6,0.004,1000,0.489264759,0.067,10,2.65,1,0.00979,2.451481103,1369.401715,0.008175533
40_120,6,0.004,1000,0.489264759,0.068,10,2.65,1,0.00979,2.451481103,1389.840546,0.008175533
40_121,6,0.004,1000,0.489264759,0.069,10,2.65,1,0.00979,2.451481103,1410.279378,0.008175533
40_122,6,0.004,1000,0.489264759,0.07,10,2.65,1,0.00979,2.451481103,1430.71821,0.008175533
40_123,7,0.004,1000,0.489264759,0.01,10,2.65,1,0.00979,2.860061287,204.3883157,0.008175533
40_124,7,0.004,1000,0.489264759,0.011,10,2.65,1,0.00979,2.860061287,224.8271472,0.008175533
40_125,7,0.004,1000,0.489264759,0.012,10,2.65,1,0.00979,2.860061287,245.2659788,0.008175533
40_126,7,0.004,1000,0.489264759,0.013,10,2.65,1,0.00979,2.860061287,265.7048103,0.008175533
40_127,7,0.004,1000,0.489264759,0.014,10,2.65,1,0.00979,2.860061287,286.1436419,0.008175533
40_128,7,0.004,1000,0.489264759,0.015,10,2.65,1,0.00979,2.860061287,306.5824735,0.008175533
40_129,7,0.004,1000,0.489264759,0.016,10,2.65,1,0.00979,2.860061287,327.021305,0.008175533
40_130,7,0.004,1000,0.489264759,0.017,10,2.65,1,0.00979,2.860061287,347.4601366,0.008175533
40_131,7,0.004,1000,0.489264759,0.018,10,2.65,1,0.00979,2.860061287,367.8989682,0.008175533
40_132,7,0.004,1000,0.489264759,0.019,10,2.65,1,0.00979,2.860061287,388.3377997,0.008175533
40_133,7,0.004,1000,0.489264759,0.02,10,2.65,1,0.00979,2.860061287,408.7766313,0.008175533
40_134,7,0.004,1000,0.489264759,0.021,10,2.65,1,0.00979,2.860061287,429.2154629,0.008175533
40_135,7,0.004,1000,0.489264759,0.022,10,2.65,1,0.00979,2.860061287,449.6542944,0.008175533
40_136,7,0.004,1000,0.489264759,0.023,10,2.65,1,0.00979,2.860061287,470.093126,0.008175533
40_137,7,0.004,1000,0.489264759,0.024,10,2.65,1,0.00979,2.860061287,490.5319576,0.008175533
40_138,7,0.004,1000,0.489264759,0.025,10,2.65,1,0.00979,2.860061287,510.9707891,0.008175533
40_139,7,0.004,1000,0.489264759,0.026,10,2.65,1,0.00979,2.860061287,531.4096207,0.008175533
40_140,7,0.004,1000,0.489264759,0.027,10,2.65,1,0.00979,2.860061287,551.8484523,0.008175533
40_141,7,0.004,1000,0.489264759,0.028,10,2.65,1,0.00979,2.860061287,572.2872838,0.008175533
40_142,7,0.004,1000,0.489264759,0.029,10,2.65,1,0.00979,2.860061287,592.7261154,0.008175533
40_143,7,0.004,1000,0.489264759,0.03,10,2.65,1,0.00979,2.860061287,613.164947,0.008175533
