run_ID,ave_velocity,d_p_cm,biomass_gm2,d_c,frontal_area_unit_volume,height,p_density,f_density,kin_viscosity_cm2,Re_c,c_density,radius_ratio
60_51,5,0.006,1000,0.489264759,0.06,10,2.65,1,0.00979,3.064351379,1226.329894,0.012263299
60_52,5,0.006,1000,0.489264759,0.061,10,2.65,1,0.00979,3.064351379,1246.768725,0.012263299
60_53,5,0.006,1000,0.489264759,0.062,10,2.65,1,0.00979,3.064351379,1267.207557,0.012263299
60_54,5,0.006,1000,0.489264759,0.063,10,2.65,1,0.00979,3.064351379,1287.646389,0.012263299
60_55,5,0.006,1000,0.489264759,0.064,10,2.65,1,0.00979,3.064351379,1308.08522,0.012263299
60_56,5,0.006,1000,0.489264759,0.065,10,2.65,1,0.00979,3.064351379,1328.524052,0.012263299
60_57,5,0.006,1000,0.489264759,0.066,10,2.65,1,0.00979,3.064351379,1348.962883,0.012263299
60_58,5,0.006,1000,0.489264759,0.067,10,2.65,1,0.00979,3.064351379,1369.401715,0.012263299
60_59,5,0.006,1000,0.489264759,0.068,10,2.65,1,0.00979,3.064351379,1389.840546,0.012263299
60_60,5,0.006,1000,0.489264759,0.069,10,2.65,1,0.00979,3.064351379,1410.279378,0.012263299
60_61,5,0.006,1000,0.489264759,0.07,10,2.65,1,0.00979,3.064351379,1430.71821,0.012263299
60_62,6,0.006,1000,0.489264759,0.01,10,2.65,1,0.00979,3.677221655,204.3883157,0.012263299
60_63,6,0.006,1000,0.489264759,0.011,10,2.65,1,0.00979,3.677221655,224.8271472,0.012263299
60_64,6,0.006,1000,0.489264759,0.012,10,2.65,1,0.00979,3.677221655,245.2659788,0.012263299
60_65,6,0.006,1000,0.489264759,0.013,10,2.65,1,0.00979,3.677221655,265.7048103,0.012263299
60_66,6,0.006,1000,0.489264759,0.014,10,2.65,1,0.00979,3.677221655,286.1436419,0.012263299
60_67,6,0.006,1000,0.489264759,0.015,10,2.65,1,0.00979,3.677221655,306.5824735,0.012263299
60_68,6,0.006,1000,0.489264759,0.016,10,2.65,1,0.00979,3.677221655,327.021305,0.012263299
60_69,6,0.006,1000,0.489264759,0.017,10,2.65,1,0.00979,3.677221655,347.4601366,0.012263299
60_70,6,0.006,1000,0.489264759,0.018,10,2.65,1,0.00979,3.677221655,367.8989682,0.012263299
60_71,6,0.006,1000,0.489264759,0.019,10,2.65,1,0.00979,3.677221655,388.3377997,0.012263299
60_72,6,0.006,1000,0.489264759,0.02,10,2.65,1,0.00979,3.677221655,408.7766313,0.012263299
60_73,6,0.006,1000,0.489264759,0.021,10,2.65,1,0.00979,3.677221655,429.2154629,0.012263299
60_74,6,0.006,1000,0.489264759,0.022,10,2.65,1,0.00979,3.677221655,449.6542944,0.012263299
60_75,6,0.006,1000,0.489264759,0.023,10,2.65,1,0.00979,3.677221655,470.093126,0.012263299
60_76,6,0.006,1000,0.489264759,0.024,10,2.65,1,0.00979,3.677221655,490.5319576,0.012263299
60_77,6,0.006,1000,0.489264759,0.025,10,2.65,1,0.00979,3.677221655,510.9707891,0.012263299
60_78,6,0.006,1000,0.489264759,0.026,10,2.65,1,0.00979,3.677221655,531.4096207,0.012263299
60_79,6,0.006,1000,0.489264759,0.027,10,2.65,1,0.00979,3.677221655,551.8484523,0.012263299
60_80,6,0.006,1000,0.489264759,0.028,10,2.65,1,0.00979,3.677221655,572.2872838,0.012263299
60_81,6,0.006,1000,0.489264759,0.029,10,2.65,1,0.00979,3.677221655,592.7261154,0.012263299
60_82,6,0.006,1000,0.489264759,0.03,10,2.65,1,0.00979,3.677221655,613.164947,0.012263299
60_83,6,0.006,1000,0.489264759,0.031,10,2.65,1,0.00979,3.677221655,633.6037785,0.012263299
60_84,6,0.006,1000,0.489264759,0.032,10,2.65,1,0.00979,3.677221655,654.0426101,0.012263299
60_85,6,0.006,1000,0.489264759,0.033,10,2.65,1,0.00979,3.677221655,674.4814417,0.012263299
60_86,6,0.006,1000,0.489264759,0.034,10,2.65,1,0.00979,3.677221655,694.9202732,0.012263299
60_87,6,0.006,1000,0.489264759,0.035,10,2.65,1,0.00979,3.677221655,715.3591048,0.012263299
60_88,6,0.006,1000,0.489264759,0.036,10,2.65,1,0.00979,3.677221655,735.7979363,0.012263299
60_89,6,0.006,1000,0.489264759,0.037,10,2.65,1,0.00979,3.677221655,756.2367679,0.012263299
60_90,6,0.006,1000,0.489264759,0.038,10,2.65,1,0.00979,3.677221655,776.6755995,0.012263299
60_91,6,0.006,1000,0.489264759,0.039,10,2.65,1,0.00979,3.677221655,797.114431,0.012263299
60_92,6,0.006,1000,0.489264759,0.04,10,2.65,1,0.00979,3.677221655,817.5532626,0.012263299
60_93,6,0.006,1000,0.489264759,0.041,10,2.65,1,0.00979,3.677221655,837.9920942,0.012263299
60_94,6,0.006,1000,0.489264759,0.042,10,2.65,1,0.00979,3.677221655,858.4309257,0.012263299
60_95,6,0.006,1000,0.489264759,0.043,10,2.65,1,0.00979,3.677221655,878.8697573,0.012263299
60_96,6,0.006,1000,0.489264759,0.044,10,2.65,1,0.00979,3.677221655,899.3085889,0.012263299
60_97,6,0.006,1000,0.489264759,0.045,10,2.65,1,0.00979,3.677221655,919.7474204,0.012263299
60_98,6,0.006,1000,0.489264759,0.046,10,2.65,1,0.00979,3.677221655,940.186252,0.012263299
60_99,6,0.006,1000,0.489264759,0.047,10,2.65,1,0.00979,3.677221655,960.6250836,0.012263299
60_100,6,0.006,1000,0.489264759,0.048,10,2.65,1,0.00979,3.677221655,981.0639151,0.012263299
60_101,6,0.006,1000,0.489264759,0.049,10,2.65,1,0.00979,3.677221655,1001.502747,0.012263299
60_102,6,0.006,1000,0.489264759,0.05,10,2.65,1,0.00979,3.677221655,1021.941578,0.012263299
60_103,6,0.006,1000,0.489264759,0.051,10,2.65,1,0.00979,3.677221655,1042.38041,0.012263299
60_104,6,0.006,1000,0.489264759,0.052,10,2.65,1,0.00979,3.677221655,1062.819241,0.012263299
60_105,6,0.006,1000,0.489264759,0.053,10,2.65,1,0.00979,3.677221655,1083.258073,0.012263299
60_106,6,0.006,1000,0.489264759,0.054,10,2.65,1,0.00979,3.677221655,1103.696905,0.012263299
60_107,6,0.006,1000,0.489264759,0.055,10,2.65,1,0.00979,3.677221655,1124.135736,0.012263299
60_108,6,0.006,1000,0.489264759,0.056,10,2.65,1,0.00979,3.677221655,1144.574568,0.012263299
60_109,6,0.006,1000,0.489264759,0.057,10,2.65,1,0.00979,3.677221655,1165.013399,0.012263299
60_110,6,0.006,1000,0.489264759,0.058,10,2.65,1,0.00979,3.677221655,1185.452231,0.012263299
60_111,6,0.006,1000,0.489264759,0.059,10,2.65,1,0.00979,3.677221655,1205.891062,0.012263299
60_112,6,0.006,1000,0.489264759,0.06,10,2.65,1,0.00979,3.677221655,1226.329894,0.012263299
60_113,6,0.006,1000,0.489264759,0.061,10,2.65,1,0.00979,3.677221655,1246.768725,0.012263299
60_114,6,0.006,1000,0.489264759,0.062,10,2.65,1,0.00979,3.677221655,1267.207557,0.012263299
60_115,6,0.006,1000,0.489264759,0.063,10,2.65,1,0.00979,3.677221655,1287.646389,0.012263299
60_116,6,0.006,1000,0.489264759,0.064,10,2.65,1,0.00979,3.677221655,1308.08522,0.012263299
60_117,6,0.006,1000,0.489264759,0.065,10,2.65,1,0.00979,3.677221655,1328.524052,0.012263299
60_118,6,0.006,1000,0.489264759,0.066,10,2.65,1,0.00979,3.677221655,1348.962883,0.012263299
60_119,6,0.006,1000,0.489264759,0.067,10,2.65,1,0.00979,3.677221655,1369.401715,0.012263299
60_120,6,0.006,1000,0.489264759,0.068,10,2.65,1,0.00979,3.677221655,1389.840546,0.012263299
60_121,6,0.006,1000,0.489264759,0.069,10,2.65,1,0.00979,3.677221655,1410.279378,0.012263299
60_122,6,0.006,1000,0.489264759,0.07,10,2.65,1,0.00979,3.677221655,1430.71821,0.012263299
60_123,7,0.006,1000,0.489264759,0.01,10,2.65,1,0.00979,4.290091931,204.3883157,0.012263299
60_124,7,0.006,1000,0.489264759,0.011,10,2.65,1,0.00979,4.290091931,224.8271472,0.012263299
60_125,7,0.006,1000,0.489264759,0.012,10,2.65,1,0.00979,4.290091931,245.2659788,0.012263299
60_126,7,0.006,1000,0.489264759,0.013,10,2.65,1,0.00979,4.290091931,265.7048103,0.012263299
60_127,7,0.006,1000,0.489264759,0.014,10,2.65,1,0.00979,4.290091931,286.1436419,0.012263299
60_128,7,0.006,1000,0.489264759,0.015,10,2.65,1,0.00979,4.290091931,306.5824735,0.012263299
60_129,7,0.006,1000,0.489264759,0.016,10,2.65,1,0.00979,4.290091931,327.021305,0.012263299
60_130,7,0.006,1000,0.489264759,0.017,10,2.65,1,0.00979,4.290091931,347.4601366,0.012263299
60_131,7,0.006,1000,0.489264759,0.018,10,2.65,1,0.00979,4.290091931,367.8989682,0.012263299
60_132,7,0.006,1000,0.489264759,0.019,10,2.65,1,0.00979,4.290091931,388.3377997,0.012263299
60_133,7,0.006,1000,0.489264759,0.02,10,2.65,1,0.00979,4.290091931,408.7766313,0.012263299
60_134,7,0.006,1000,0.489264759,0.021,10,2.65,1,0.00979,4.290091931,429.2154629,0.012263299
60_135,7,0.006,1000,0.489264759,0.022,10,2.65,1,0.00979,4.290091931,449.6542944,0.012263299
60_136,7,0.006,1000,0.489264759,0.023,10,2.65,1,0.00979,4.290091931,470.093126,0.012263299
60_137,7,0.006,1000,0.489264759,0.024,10,2.65,1,0.00979,4.290091931,490.5319576,0.012263299
60_138,7,0.006,1000,0.489264759,0.025,10,2.65,1,0.00979,4.290091931,510.9707891,0.012263299
60_139,7,0.006,1000,0.489264759,0.026,10,2.65,1,0.00979,4.290091931,531.4096207,0.012263299
60_140,7,0.006,1000,0.489264759,0.027,10,2.65,1,0.00979,4.290091931,551.8484523,0.012263299
60_141,7,0.006,1000,0.489264759,0.028,10,2.65,1,0.00979,4.290091931,572.2872838,0.012263299
60_142,7,0.006,1000,0.489264759,0.029,10,2.65,1,0.00979,4.290091931,592.7261154,0.012263299
60_143,7,0.006,1000,0.489264759,0.03,10,2.65,1,0.00979,4.290091931,613.164947,0.012263299
60_144,7,0.006,1000,0.489264759,0.031,10,2.65,1,0.00979,4.290091931,633.6037785,0.012263299
