run_ID,ave_velocity,d_p_cm,biomass_gm2,d_c,frontal_area_unit_volume,height,p_density,f_density,kin_viscosity_cm2,Re_c,c_density,radius_ratio
60_48,25,0.006,1138.164942,0.674326982,0.05,10,2.65,1,0.00979,1721.979015,741.4800433,0.008897761
60_49,25,0.006,1362.399923,0.696511724,0.055,10,2.65,1,0.00979,1778.630551,789.6493072,0.008614356
60_50,25,0.006,1605.475867,0.717401502,0.06,10,2.65,1,0.00979,1831.975235,836.3517476,0.008363517
60_51,25,0.006,1867.207837,0.737171065,0.065,10,2.65,1,0.00979,1882.459307,881.7492047,0.008139223
60_52,25,0.006,2147.427346,0.755960193,0.07,10,2.65,1,0.00979,1930.439716,925.9746829,0.007936926
60_53,30,0.006,54.62530506,0.390377248,0.01,10,2.65,1,0.00979,1196.253059,256.1624696,0.015369748
60_54,30,0.006,117.3928196,0.448011412,0.015,10,2.65,1,0.00979,1372.864389,334.8128996,0.013392516
60_55,30,0.006,202.0109911,0.493993348,0.02,10,2.65,1,0.00979,1513.769197,404.8637514,0.012145913
60_56,30,0.006,307.768438,0.53288554,0.025,10,2.65,1,0.00979,1632.948538,469.1438994,0.011259454
60_57,30,0.006,434.1328586,0.566925092,0.03,10,2.65,1,0.00979,1737.257688,529.1704391,0.010583409
60_58,30,0.006,580.6806513,0.59739602,0.035,10,2.65,1,0.00979,1830.631318,585.8760157,0.010043589
60_59,30,0.006,747.0611003,0.625111809,0.04,10,2.65,1,0.00979,1915.562233,639.8855282,0.009598283
60_60,30,0.006,932.9756658,0.650624268,0.045,10,2.65,1,0.00979,1993.741371,691.64343,0.009221912
60_61,30,0.006,1138.164942,0.674326982,0.05,10,2.65,1,0.00979,2066.374818,741.4800433,0.008897761
60_62,30,0.006,1362.399923,0.696511724,0.055,10,2.65,1,0.00979,2134.356661,789.6493072,0.008614356
60_63,30,0.006,1605.475867,0.717401502,0.06,10,2.65,1,0.00979,2198.370282,836.3517476,0.008363517
60_64,30,0.006,1867.207837,0.737171065,0.065,10,2.65,1,0.00979,2258.951169,881.7492047,0.008139223
60_65,30,0.006,2147.427346,0.755960193,0.07,10,2.65,1,0.00979,2316.52766,925.9746829,0.007936926
60_66,35,0.006,54.62530506,0.390377248,0.01,10,2.65,1,0.00979,1395.628569,256.1624696,0.015369748
60_67,35,0.006,117.3928196,0.448011412,0.015,10,2.65,1,0.00979,1601.675121,334.8128996,0.013392516
60_68,35,0.006,202.0109911,0.493993348,0.02,10,2.65,1,0.00979,1766.064063,404.8637514,0.012145913
60_69,35,0.006,307.768438,0.53288554,0.025,10,2.65,1,0.00979,1905.106628,469.1438994,0.011259454
60_70,35,0.006,434.1328586,0.566925092,0.03,10,2.65,1,0.00979,2026.800636,529.1704391,0.010583409
60_71,35,0.006,580.6806513,0.59739602,0.035,10,2.65,1,0.00979,2135.736537,585.8760157,0.010043589
60_72,35,0.006,747.0611003,0.625111809,0.04,10,2.65,1,0.00979,2234.822606,639.8855282,0.009598283
60_73,35,0.006,932.9756658,0.650624268,0.045,10,2.65,1,0.00979,2326.0316,691.64343,0.009221912
60_74,35,0.006,1138.164942,0.674326982,0.05,10,2.65,1,0.00979,2410.770621,741.4800433,0.008897761
60_75,35,0.006,1362.399923,0.696511724,0.055,10,2.65,1,0.00979,2490.082771,789.6493072,0.008614356
60_76,35,0.006,1605.475867,0.717401502,0.06,10,2.65,1,0.00979,2564.765329,836.3517476,0.008363517
60_77,35,0.006,1867.207837,0.737171065,0.065,10,2.65,1,0.00979,2635.44303,881.7492047,0.008139223
60_78,35,0.006,2147.427346,0.755960193,0.07,10,2.65,1,0.00979,2702.615603,925.9746829,0.007936926
60_79,40,0.006,54.62530506,0.390377248,0.01,10,2.65,1,0.00979,1595.004079,256.1624696,0.015369748
60_80,40,0.006,117.3928196,0.448011412,0.015,10,2.65,1,0.00979,1830.485852,334.8128996,0.013392516
60_81,40,0.006,202.0109911,0.493993348,0.02,10,2.65,1,0.00979,2018.358929,404.8637514,0.012145913
60_82,40,0.006,307.768438,0.53288554,0.025,10,2.65,1,0.00979,2177.264718,469.1438994,0.011259454
60_83,40,0.006,434.1328586,0.566925092,0.03,10,2.65,1,0.00979,2316.343584,529.1704391,0.010583409
60_84,40,0.006,580.6806513,0.59739602,0.035,10,2.65,1,0.00979,2440.841757,585.8760157,0.010043589
60_85,40,0.006,747.0611003,0.625111809,0.04,10,2.65,1,0.00979,2554.082978,639.8855282,0.009598283
60_86,40,0.006,932.9756658,0.650624268,0.045,10,2.65,1,0.00979,2658.321828,691.64343,0.009221912
60_87,40,0.006,1138.164942,0.674326982,0.05,10,2.65,1,0.00979,2755.166424,741.4800433,0.008897761
60_88,40,0.006,1362.399923,0.696511724,0.055,10,2.65,1,0.00979,2845.808881,789.6493072,0.008614356
60_89,40,0.006,1605.475867,0.717401502,0.06,10,2.65,1,0.00979,2931.160376,836.3517476,0.008363517
60_90,40,0.006,1867.207837,0.737171065,0.065,10,2.65,1,0.00979,3011.934891,881.7492047,0.008139223
60_91,40,0.006,2147.427346,0.755960193,0.07,10,2.65,1,0.00979,3088.703546,925.9746829,0.007936926
60_92,45,0.006,54.62530506,0.390377248,0.01,10,2.65,1,0.00979,1794.379589,256.1624696,0.015369748
60_93,45,0.006,117.3928196,0.448011412,0.015,10,2.65,1,0.00979,2059.296584,334.8128996,0.013392516
60_94,45,0.006,202.0109911,0.493993348,0.02,10,2.65,1,0.00979,2270.653796,404.8637514,0.012145913
60_95,45,0.006,307.768438,0.53288554,0.025,10,2.65,1,0.00979,2449.422807,469.1438994,0.011259454
60_96,45,0.006,434.1328586,0.566925092,0.03,10,2.65,1,0.00979,2605.886532,529.1704391,0.010583409
60_97,45,0.006,580.6806513,0.59739602,0.035,10,2.65,1,0.00979,2745.946977,585.8760157,0.010043589
60_98,45,0.006,747.0611003,0.625111809,0.04,10,2.65,1,0.00979,2873.34335,639.8855282,0.009598283
60_99,45,0.006,932.9756658,0.650624268,0.045,10,2.65,1,0.00979,2990.612057,691.64343,0.009221912
60_100,45,0.006,1138.164942,0.674326982,0.05,10,2.65,1,0.00979,3099.562227,741.4800433,0.008897761
60_101,45,0.006,1362.399923,0.696511724,0.055,10,2.65,1,0.00979,3201.534991,789.6493072,0.008614356
60_102,45,0.006,1605.475867,0.717401502,0.06,10,2.65,1,0.00979,3297.555423,836.3517476,0.008363517
60_103,45,0.006,1867.207837,0.737171065,0.065,10,2.65,1,0.00979,3388.426753,881.7492047,0.008139223
60_104,45,0.006,2147.427346,0.755960193,0.07,10,2.65,1,0.00979,3474.79149,925.9746829,0.007936926
60_105,50,0.006,54.62530506,0.390377248,0.01,10,2.65,1,0.00979,1993.755099,256.1624696,0.015369748
60_106,50,0.006,117.3928196,0.448011412,0.015,10,2.65,1,0.00979,2288.107315,334.8128996,0.013392516
60_107,50,0.006,202.0109911,0.493993348,0.02,10,2.65,1,0.00979,2522.948662,404.8637514,0.012145913
60_108,50,0.006,307.768438,0.53288554,0.025,10,2.65,1,0.00979,2721.580897,469.1438994,0.011259454
60_109,50,0.006,434.1328586,0.566925092,0.03,10,2.65,1,0.00979,2895.42948,529.1704391,0.010583409
60_110,50,0.006,580.6806513,0.59739602,0.035,10,2.65,1,0.00979,3051.052196,585.8760157,0.010043589
60_111,50,0.006,747.0611003,0.625111809,0.04,10,2.65,1,0.00979,3192.603722,639.8855282,0.009598283
60_112,50,0.006,932.9756658,0.650624268,0.045,10,2.65,1,0.00979,3322.902286,691.64343,0.009221912
60_113,50,0.006,1138.164942,0.674326982,0.05,10,2.65,1,0.00979,3443.95803,741.4800433,0.008897761
60_114,50,0.006,1362.399923,0.696511724,0.055,10,2.65,1,0.00979,3557.261101,789.6493072,0.008614356
60_115,50,0.006,1605.475867,0.717401502,0.06,10,2.65,1,0.00979,3663.95047,836.3517476,0.008363517
60_116,50,0.006,1867.207837,0.737171065,0.065,10,2.65,1,0.00979,3764.918614,881.7492047,0.008139223
60_117,50,0.006,2147.427346,0.755960193,0.07,10,2.65,1,0.00979,3860.879433,925.9746829,0.007936926
