run_ID,paper,Re_c,Calc_Re,d_c,r_c,biofilm,growth_days,growth_cat,c_type,frontal_area,frontal_area_unit_volume,height,eta_not,eta,particle_type,p_density,d_p_cm,d_p_um,f_density,c_density,ave_velocity_cm,radius_ratio,kin_viscosity_cm2,diameter_m,velocity_m
17a15,Fauria_2014,144.02,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,15,,0.000638563,road dust,2.3,0.00138,13.8,1,7209,4.7,0.0046,9.79E-03,0.003,0.047
17b13,Fauria_2014,144.02,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,15.1,,0.000460817,road dust,2.3,0.00099,9.9,1,7209,4.7,0.0033,9.79E-03,0.003,0.047
17b14,Fauria_2014,144.02,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,15.1,,0.00057804,road dust,2.3,0.00117,11.7,1,7209,4.7,0.0039,9.79E-03,0.003,0.047
17b15,Fauria_2014,144.02,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,15.1,,0.000656126,road dust,2.3,0.00138,13.8,1,7209,4.7,0.0046,9.79E-03,0.003,0.047
18a13,Fauria_2014,183.86,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,16.7,,0.000280824,road dust,2.3,0.00099,9.9,1,7209,6,0.0033,9.79E-03,0.003,0.06
18a14,Fauria_2014,183.86,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,16.7,,0.000291132,road dust,2.3,0.00117,11.7,1,7209,6,0.0039,9.79E-03,0.003,0.06
18a15,Fauria_2014,183.86,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,16.7,,0.000286171,road dust,2.3,0.00138,13.8,1,7209,6,0.0046,9.79E-03,0.003,0.06
18b13,Fauria_2014,183.86,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,16.7,,0.000349942,road dust,2.3,0.00099,9.9,1,7209,6,0.0033,9.79E-03,0.003,0.06
18b14,Fauria_2014,183.86,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,16.7,,0.000343629,road dust,2.3,0.00117,11.7,1,7209,6,0.0039,9.79E-03,0.003,0.06
18b15,Fauria_2014,183.86,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,16.7,,0.000317032,road dust,2.3,0.00138,13.8,1,7209,6,0.0046,9.79E-03,0.003,0.06
7a13,Fauria_2014,55.16,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,14.7,,0.000916464,road dust,2.3,0.00099,9.9,1,7209,1.8,0.0033,9.79E-03,0.003,0.018
7a14,Fauria_2014,55.16,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,14.7,,0.001084977,road dust,2.3,0.00117,11.7,1,7209,1.8,0.0039,9.79E-03,0.003,0.018
7a15,Fauria_2014,55.16,yes,0.3,0.15,yes,7,1,7209 stems m?2 with biofilm,2162.7,0.059512933,14.7,,0.001212598,road dust,2.3,0.00138,13.8,1,7209,1.8,0.0046,9.79E-03,0.003,0.018
