run_ID,ave_velocity,d_p_cm,biomass_gm2,d_c,frontal_area_unit_volume,height,p_density,f_density,kin_viscosity_cm2,Re_c,c_density,radius_ratio
10_1,5,0.001,1000,0.489264759,0.01,10,2.65,1,0.00979,0.51072523,204.3883157,0.002043883
10_2,5,0.001,1000,0.489264759,0.011,10,2.65,1,0.00979,0.51072523,224.8271472,0.002043883
10_3,5,0.001,1000,0.489264759,0.012,10,2.65,1,0.00979,0.51072523,245.2659788,0.002043883
10_4,5,0.001,1000,0.489264759,0.013,10,2.65,1,0.00979,0.51072523,265.7048103,0.002043883
10_5,5,0.001,1000,0.489264759,0.014,10,2.65,1,0.00979,0.51072523,286.1436419,0.002043883
10_6,5,0.001,1000,0.489264759,0.015,10,2.65,1,0.00979,0.51072523,306.5824735,0.002043883
10_7,5,0.001,1000,0.489264759,0.016,10,2.65,1,0.00979,0.51072523,327.021305,0.002043883
10_8,5,0.001,1000,0.489264759,0.017,10,2.65,1,0.00979,0.51072523,347.4601366,0.002043883
10_9,5,0.001,1000,0.489264759,0.018,10,2.65,1,0.00979,0.51072523,367.8989682,0.002043883
10_10,5,0.001,1000,0.489264759,0.019,10,2.65,1,0.00979,0.51072523,388.3377997,0.002043883
10_11,5,0.001,1000,0.489264759,0.02,10,2.65,1,0.00979,0.51072523,408.7766313,0.002043883
10_12,5,0.001,1000,0.489264759,0.021,10,2.65,1,0.00979,0.51072523,429.2154629,0.002043883
10_13,5,0.001,1000,0.489264759,0.022,10,2.65,1,0.00979,0.51072523,449.6542944,0.002043883
10_14,5,0.001,1000,0.489264759,0.023,10,2.65,1,0.00979,0.51072523,470.093126,0.002043883
10_15,5,0.001,1000,0.489264759,0.024,10,2.65,1,0.00979,0.51072523,490.5319576,0.002043883
10_16,5,0.001,1000,0.489264759,0.025,10,2.65,1,0.00979,0.51072523,510.9707891,0.002043883
10_17,5,0.001,1000,0.489264759,0.026,10,2.65,1,0.00979,0.51072523,531.4096207,0.002043883
10_18,5,0.001,1000,0.489264759,0.027,10,2.65,1,0.00979,0.51072523,551.8484523,0.002043883
10_19,5,0.001,1000,0.489264759,0.028,10,2.65,1,0.00979,0.51072523,572.2872838,0.002043883
10_20,5,0.001,1000,0.489264759,0.029,10,2.65,1,0.00979,0.51072523,592.7261154,0.002043883
10_21,5,0.001,1000,0.489264759,0.03,10,2.65,1,0.00979,0.51072523,613.164947,0.002043883
10_22,5,0.001,1000,0.489264759,0.031,10,2.65,1,0.00979,0.51072523,633.6037785,0.002043883
10_23,5,0.001,1000,0.489264759,0.032,10,2.65,1,0.00979,0.51072523,654.0426101,0.002043883
10_24,5,0.001,1000,0.489264759,0.033,10,2.65,1,0.00979,0.51072523,674.4814417,0.002043883
10_25,5,0.001,1000,0.489264759,0.034,10,2.65,1,0.00979,0.51072523,694.9202732,0.002043883
10_26,5,0.001,1000,0.489264759,0.035,10,2.65,1,0.00979,0.51072523,715.3591048,0.002043883
10_27,5,0.001,1000,0.489264759,0.036,10,2.65,1,0.00979,0.51072523,735.7979363,0.002043883
10_28,5,0.001,1000,0.489264759,0.037,10,2.65,1,0.00979,0.51072523,756.2367679,0.002043883
10_29,5,0.001,1000,0.489264759,0.038,10,2.65,1,0.00979,0.51072523,776.6755995,0.002043883
10_30,5,0.001,1000,0.489264759,0.039,10,2.65,1,0.00979,0.51072523,797.114431,0.002043883
10_31,5,0.001,1000,0.489264759,0.04,10,2.65,1,0.00979,0.51072523,817.5532626,0.002043883
10_32,5,0.001,1000,0.489264759,0.041,10,2.65,1,0.00979,0.51072523,837.9920942,0.002043883
10_33,5,0.001,1000,0.489264759,0.042,10,2.65,1,0.00979,0.51072523,858.4309257,0.002043883
10_34,5,0.001,1000,0.489264759,0.043,10,2.65,1,0.00979,0.51072523,878.8697573,0.002043883
10_35,5,0.001,1000,0.489264759,0.044,10,2.65,1,0.00979,0.51072523,899.3085889,0.002043883
10_36,5,0.001,1000,0.489264759,0.045,10,2.65,1,0.00979,0.51072523,919.7474204,0.002043883
10_37,5,0.001,1000,0.489264759,0.046,10,2.65,1,0.00979,0.51072523,940.186252,0.002043883
10_38,5,0.001,1000,0.489264759,0.047,10,2.65,1,0.00979,0.51072523,960.6250836,0.002043883
10_39,5,0.001,1000,0.489264759,0.048,10,2.65,1,0.00979,0.51072523,981.0639151,0.002043883
10_40,5,0.001,1000,0.489264759,0.049,10,2.65,1,0.00979,0.51072523,1001.502747,0.002043883
10_41,5,0.001,1000,0.489264759,0.05,10,2.65,1,0.00979,0.51072523,1021.941578,0.002043883
10_42,5,0.001,1000,0.489264759,0.051,10,2.65,1,0.00979,0.51072523,1042.38041,0.002043883
10_43,5,0.001,1000,0.489264759,0.052,10,2.65,1,0.00979,0.51072523,1062.819241,0.002043883
10_44,5,0.001,1000,0.489264759,0.053,10,2.65,1,0.00979,0.51072523,1083.258073,0.002043883
10_45,5,0.001,1000,0.489264759,0.054,10,2.65,1,0.00979,0.51072523,1103.696905,0.002043883
10_46,5,0.001,1000,0.489264759,0.055,10,2.65,1,0.00979,0.51072523,1124.135736,0.002043883
10_47,5,0.001,1000,0.489264759,0.056,10,2.65,1,0.00979,0.51072523,1144.574568,0.002043883
10_48,5,0.001,1000,0.489264759,0.057,10,2.65,1,0.00979,0.51072523,1165.013399,0.002043883
10_49,5,0.001,1000,0.489264759,0.058,10,2.65,1,0.00979,0.51072523,1185.452231,0.002043883
10_50,5,0.001,1000,0.489264759,0.059,10,2.65,1,0.00979,0.51072523,1205.891062,0.002043883
10_51,5,0.001,1000,0.489264759,0.06,10,2.65,1,0.00979,0.51072523,1226.329894,0.002043883
10_52,5,0.001,1000,0.489264759,0.061,10,2.65,1,0.00979,0.51072523,1246.768725,0.002043883
10_53,5,0.001,1000,0.489264759,0.062,10,2.65,1,0.00979,0.51072523,1267.207557,0.002043883
10_54,5,0.001,1000,0.489264759,0.063,10,2.65,1,0.00979,0.51072523,1287.646389,0.002043883
10_55,5,0.001,1000,0.489264759,0.064,10,2.65,1,0.00979,0.51072523,1308.08522,0.002043883
10_56,5,0.001,1000,0.489264759,0.065,10,2.65,1,0.00979,0.51072523,1328.524052,0.002043883
10_57,5,0.001,1000,0.489264759,0.066,10,2.65,1,0.00979,0.51072523,1348.962883,0.002043883
10_58,5,0.001,1000,0.489264759,0.067,10,2.65,1,0.00979,0.51072523,1369.401715,0.002043883
10_59,5,0.001,1000,0.489264759,0.068,10,2.65,1,0.00979,0.51072523,1389.840546,0.002043883
10_60,5,0.001,1000,0.489264759,0.069,10,2.65,1,0.00979,0.51072523,1410.279378,0.002043883
10_61,5,0.001,1000,0.489264759,0.07,10,2.65,1,0.00979,0.51072523,1430.71821,0.002043883
10_62,6,0.001,1000,0.489264759,0.01,10,2.65,1,0.00979,0.612870276,204.3883157,0.002043883
10_63,6,0.001,1000,0.489264759,0.011,10,2.65,1,0.00979,0.612870276,224.8271472,0.002043883
10_64,6,0.001,1000,0.489264759,0.012,10,2.65,1,0.00979,0.612870276,245.2659788,0.002043883
10_65,6,0.001,1000,0.489264759,0.013,10,2.65,1,0.00979,0.612870276,265.7048103,0.002043883
10_66,6,0.001,1000,0.489264759,0.014,10,2.65,1,0.00979,0.612870276,286.1436419,0.002043883
10_67,6,0.001,1000,0.489264759,0.015,10,2.65,1,0.00979,0.612870276,306.5824735,0.002043883
10_68,6,0.001,1000,0.489264759,0.016,10,2.65,1,0.00979,0.612870276,327.021305,0.002043883
10_69,6,0.001,1000,0.489264759,0.017,10,2.65,1,0.00979,0.612870276,347.4601366,0.002043883
10_70,6,0.001,1000,0.489264759,0.018,10,2.65,1,0.00979,0.612870276,367.8989682,0.002043883
10_71,6,0.001,1000,0.489264759,0.019,10,2.65,1,0.00979,0.612870276,388.3377997,0.002043883
10_72,6,0.001,1000,0.489264759,0.02,10,2.65,1,0.00979,0.612870276,408.7766313,0.002043883
10_73,6,0.001,1000,0.489264759,0.021,10,2.65,1,0.00979,0.612870276,429.2154629,0.002043883
10_74,6,0.001,1000,0.489264759,0.022,10,2.65,1,0.00979,0.612870276,449.6542944,0.002043883
10_75,6,0.001,1000,0.489264759,0.023,10,2.65,1,0.00979,0.612870276,470.093126,0.002043883
10_76,6,0.001,1000,0.489264759,0.024,10,2.65,1,0.00979,0.612870276,490.5319576,0.002043883
10_77,6,0.001,1000,0.489264759,0.025,10,2.65,1,0.00979,0.612870276,510.9707891,0.002043883
10_78,6,0.001,1000,0.489264759,0.026,10,2.65,1,0.00979,0.612870276,531.4096207,0.002043883
10_79,6,0.001,1000,0.489264759,0.027,10,2.65,1,0.00979,0.612870276,551.8484523,0.002043883
10_80,6,0.001,1000,0.489264759,0.028,10,2.65,1,0.00979,0.612870276,572.2872838,0.002043883
10_81,6,0.001,1000,0.489264759,0.029,10,2.65,1,0.00979,0.612870276,592.7261154,0.002043883
10_82,6,0.001,1000,0.489264759,0.03,10,2.65,1,0.00979,0.612870276,613.164947,0.002043883
10_83,6,0.001,1000,0.489264759,0.031,10,2.65,1,0.00979,0.612870276,633.6037785,0.002043883
10_84,6,0.001,1000,0.489264759,0.032,10,2.65,1,0.00979,0.612870276,654.0426101,0.002043883
10_85,6,0.001,1000,0.489264759,0.033,10,2.65,1,0.00979,0.612870276,674.4814417,0.002043883
10_86,6,0.001,1000,0.489264759,0.034,10,2.65,1,0.00979,0.612870276,694.9202732,0.002043883
10_87,6,0.001,1000,0.489264759,0.035,10,2.65,1,0.00979,0.612870276,715.3591048,0.002043883
10_88,6,0.001,1000,0.489264759,0.036,10,2.65,1,0.00979,0.612870276,735.7979363,0.002043883
10_89,6,0.001,1000,0.489264759,0.037,10,2.65,1,0.00979,0.612870276,756.2367679,0.002043883
10_90,6,0.001,1000,0.489264759,0.038,10,2.65,1,0.00979,0.612870276,776.6755995,0.002043883
10_91,6,0.001,1000,0.489264759,0.039,10,2.65,1,0.00979,0.612870276,797.114431,0.002043883
10_92,6,0.001,1000,0.489264759,0.04,10,2.65,1,0.00979,0.612870276,817.5532626,0.002043883
10_93,6,0.001,1000,0.489264759,0.041,10,2.65,1,0.00979,0.612870276,837.9920942,0.002043883
10_94,6,0.001,1000,0.489264759,0.042,10,2.65,1,0.00979,0.612870276,858.4309257,0.002043883
10_95,6,0.001,1000,0.489264759,0.043,10,2.65,1,0.00979,0.612870276,878.8697573,0.002043883
10_96,6,0.001,1000,0.489264759,0.044,10,2.65,1,0.00979,0.612870276,899.3085889,0.002043883
10_97,6,0.001,1000,0.489264759,0.045,10,2.65,1,0.00979,0.612870276,919.7474204,0.002043883
10_98,6,0.001,1000,0.489264759,0.046,10,2.65,1,0.00979,0.612870276,940.186252,0.002043883
10_99,6,0.001,1000,0.489264759,0.047,10,2.65,1,0.00979,0.612870276,960.6250836,0.002043883
10_100,6,0.001,1000,0.489264759,0.048,10,2.65,1,0.00979,0.612870276,981.0639151,0.002043883
10_101,6,0.001,1000,0.489264759,0.049,10,2.65,1,0.00979,0.612870276,1001.502747,0.002043883
10_102,6,0.001,1000,0.489264759,0.05,10,2.65,1,0.00979,0.612870276,1021.941578,0.002043883
10_103,6,0.001,1000,0.489264759,0.051,10,2.65,1,0.00979,0.612870276,1042.38041,0.002043883
10_104,6,0.001,1000,0.489264759,0.052,10,2.65,1,0.00979,0.612870276,1062.819241,0.002043883
10_105,6,0.001,1000,0.489264759,0.053,10,2.65,1,0.00979,0.612870276,1083.258073,0.002043883
10_106,6,0.001,1000,0.489264759,0.054,10,2.65,1,0.00979,0.612870276,1103.696905,0.002043883
10_107,6,0.001,1000,0.489264759,0.055,10,2.65,1,0.00979,0.612870276,1124.135736,0.002043883
10_108,6,0.001,1000,0.489264759,0.056,10,2.65,1,0.00979,0.612870276,1144.574568,0.002043883
10_109,6,0.001,1000,0.489264759,0.057,10,2.65,1,0.00979,0.612870276,1165.013399,0.002043883
10_110,6,0.001,1000,0.489264759,0.058,10,2.65,1,0.00979,0.612870276,1185.452231,0.002043883
10_111,6,0.001,1000,0.489264759,0.059,10,2.65,1,0.00979,0.612870276,1205.891062,0.002043883
10_112,6,0.001,1000,0.489264759,0.06,10,2.65,1,0.00979,0.612870276,1226.329894,0.002043883
10_113,6,0.001,1000,0.489264759,0.061,10,2.65,1,0.00979,0.612870276,1246.768725,0.002043883
10_114,6,0.001,1000,0.489264759,0.062,10,2.65,1,0.00979,0.612870276,1267.207557,0.002043883
10_115,6,0.001,1000,0.489264759,0.063,10,2.65,1,0.00979,0.612870276,1287.646389,0.002043883
10_116,6,0.001,1000,0.489264759,0.064,10,2.65,1,0.00979,0.612870276,1308.08522,0.002043883
10_117,6,0.001,1000,0.489264759,0.065,10,2.65,1,0.00979,0.612870276,1328.524052,0.002043883
10_118,6,0.001,1000,0.489264759,0.066,10,2.65,1,0.00979,0.612870276,1348.962883,0.002043883
